Date,Currency_Code,Impact,Actual,Previous,Actual_Val,Forecast_Val,Previous_Val
2018-01-10T13:30:00.000Z,CAD,med,-1,1,-7.7%,-1.0%,3.5%
2018-01-10T13:30:00.000Z,USD,,-1,0,0.1%,0.4%,0.7%
2018-01-10T14:00:00.000Z,USD,,0,0,,,
2018-01-10T14:10:00.000Z,USD,,0,0,,,
2018-01-10T15:00:00.000Z,USD,low,-1,0,0.8%,0.7%,0.7%
2018-01-10T18:30:00.000Z,USD,,0,0,,,
2018-01-11T00:30:00.000Z,AUD,high,1,0,1.2%,0.4%,0.5%
2018-01-11T05:00:00.000Z,JPY,low,0,0,108.6,108.6,106.5
2018-01-11T09:00:00.000Z,EUR,med,-1,0,2.2%,2.4%,1.9%
2018-01-11T09:30:00.000Z,GBP,,0,0,,,
2018-01-11T10:00:00.000Z,EUR,med,1,1,1.0%,0.8%,0.2%
2018-01-11T10:00:00.000Z,EUR,med,1,1,3.2%,3.1%,3.7%
2018-01-11T13:30:00.000Z,CAD,low,-1,0,0.1%,0.2%,0.1%
2018-01-11T13:30:00.000Z,USD,high,-1,0,-0.1%,0.2%,0.4%
2018-01-11T13:30:00.000Z,USD,med,-1,0,-0.1%,0.2%,0.3%
2018-01-11T13:30:00.000Z,USD,med,-1,0,261.0k,245.0k,250.0k
2018-01-11T18:30:00.000Z,EUR,,0,0,,,
2018-01-11T19:00:00.000Z,USD,low,1,0,-23.2B,-26.5B,-138.5B
2018-01-11T20:30:00.000Z,USD,,0,0,,,
2018-01-11T21:45:00.000Z,NZD,med,0,-1,10.8%,,-9.6%
2018-01-11T23:50:00.000Z,JPY,low,0,0,2.4%,,
2018-01-11T23:50:00.000Z,JPY,med,-1,0,"1,347.3B","1,836.1B","2,176.4B"
2018-01-12T00:00:00.000Z,CNY,,1,0,10.9%,10.8%,12.3%
2018-01-12T00:00:00.000Z,CNY,,-1,0,4.5%,15.1%,17.7%
2018-01-12T00:00:00.000Z,CNY,med,1,0,54.69B,37.0B,40.21B
2018-01-12T05:00:00.000Z,JPY,med,-1,0,53.9,55.1,55.1
2018-01-12T07:45:00.000Z,EUR,low,0,0,0.4%,0.4%,0.4%
2018-01-12T07:45:00.000Z,EUR,low,0,0,0.3%,0.3%,0.3%
2018-01-12T07:45:00.000Z,EUR,low,-1,0,1.2%,1.3%,1.3%
2018-01-12T07:45:00.000Z,EUR,low,0,0,1.2%,1.2%,1.2%
2018-01-12T13:30:00.000Z,USD,high,0,1,0.4%,0.4%,1.0%
2018-01-12T13:30:00.000Z,USD,high,-1,1,0.4%,0.5%,0.8%
2018-01-12T13:30:00.000Z,USD,high,1,0,0.3%,0.2%,0.1%
2018-01-12T13:30:00.000Z,USD,high,0,0,0.1%,0.1%,0.4%
2018-01-12T15:00:00.000Z,USD,med,0,0,0.4%,0.4%,-0.1%
2018-01-12T16:30:00.000Z,EUR,,0,0,,,
2018-01-12T17:00:00.000Z,USD,,0,0,,,
2018-01-12T21:15:00.000Z,USD,high,0,0,,,
2018-01-14T21:45:00.000Z,NZD,med,0,0,-0.8%,,-0.4%
2018-01-14T23:50:00.000Z,JPY,med,-1,0,3.6%,4.0%,4.0%
2018-01-15,CNY,med,-1,0,8.2%,9.2%,9.1%
2018-01-15,CNY,med,-1,0,584.4B,"1,000.0B","1,120.0B"
2018-01-15,CNY,med,-1,-1,"1,139.8B","1,500.0B","1,600.0B"
2018-01-15,USD,,0,0,,,
